"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
0,0.4254589621619,0.157355361212288,0.206500191531877,0.564148130009279,0.518597974060374,0.400425741336299,0.0266817538036002,0.224675335364514,0.501218815134234,0.64503515044875,0.301799969445007,0.220871416374255,0.291273988650688,0.295279491433961
0.4254589621619,0,0.0675140218396667,0.261964429551711,0.378061850331015,0.304322232458165,0.495690030817887,0.01263971440952,0.47355090890588,0.214673163403419,0.644028234970766,0.140523953859845,0.119963620028877,0.236932153508788,0.515659037395196
0.157355361212288,0.0675140218396667,0,0.0579827080638925,0.124482695139567,0.181622977811015,0.0839913855245993,0.129952150057353,0.039431541048513,0.313895125496381,0.104454388799752,0.273024277772183,0.265396185067114,0.0847813380801455,0.0489627687043828
0.206500191531877,0.261964429551711,0.0579827080638925,0,0.127865368903171,0.299486890334455,0.494136635017444,0.0193485408371784,0.364073829084675,0.144099756730932,0.271764610520155,0.0659846839738342,0.181614130843546,0.0692585638140989,0.137276674364744
0.564148130009279,0.378061850331015,0.124482695139567,0.127865368903171,0,0.293143459815487,0.257674377714623,0.0181894090189444,0.179570253640663,0.360750493387561,0.466997315649398,0.347337399211373,0.131151456712667,0.51606088489609,0.376035539999878
0.518597974060374,0.304322232458165,0.181622977811015,0.299486890334455,0.293143459815487,0,0.459266320890402,0.0411229252014276,0.210353798635465,0.478750543750429,0.455035519424444,0.209459643457224,0.392651291487934,0.151721560684444,0.174830324121304
0.400425741336299,0.495690030817887,0.0839913855245993,0.494136635017444,0.257674377714623,0.459266320890402,0,0.0201001410926506,0.453139150012394,0.243264821831992,0.549738929931424,0.122222744634715,0.201215911263331,0.140140923425613,0.255681122813652
0.0266817538036002,0.01263971440952,0.129952150057353,0.0193485408371784,0.0181894090189444,0.0411229252014276,0.0201001410926506,0,0.00915733746930241,0.0502036168141729,0.0193881346472802,0.0355075559803625,0.0997370475374513,0.0113772428537585,0.00787923028699739
0.224675335364514,0.47355090890588,0.039431541048513,0.364073829084675,0.179570253640663,0.210353798635465,0.453139150012394,0.00915733746930241,0,0.120345433364367,0.346973007685811,0.0693227955139173,0.0918138993581267,0.114364815832581,0.301796497643458
0.501218815134234,0.214673163403419,0.313895125496381,0.144099756730932,0.360750493387561,0.478750543750429,0.243264821831992,0.0502036168141729,0.120345433364367,0,0.331043898386651,0.421037710829748,0.32534428071303,0.208668593953308,0.152302940331303
0.64503515044875,0.644028234970766,0.104454388799752,0.271764610520155,0.466997315649398,0.455035519424444,0.549738929931424,0.0193881346472802,0.346973007685811,0.331043898386651,0,0.198970419619167,0.178816207347273,0.254303161721645,0.38294480945969
0.301799969445007,0.140523953859845,0.273024277772183,0.0659846839738342,0.347337399211373,0.209459643457224,0.122222744634715,0.0355075559803625,0.0693227955139173,0.421037710829748,0.198970419619167,0,0.146798962662715,0.295016945192743,0.131619742702429
0.220871416374255,0.119963620028877,0.265396185067114,0.181614130843546,0.131151456712667,0.392651291487934,0.201215911263331,0.0997370475374513,0.0918138993581267,0.32534428071303,0.178816207347273,0.146798962662715,0,0.0706987673182046,0.0689997067360386
0.291273988650688,0.236932153508788,0.0847813380801455,0.0692585638140989,0.51606088489609,0.151721560684444,0.140140923425613,0.0113772428537585,0.114364815832581,0.208668593953308,0.254303161721645,0.295016945192743,0.0706987673182046,0,0.329838411244598
0.295279491433961,0.515659037395196,0.0489627687043828,0.137276674364744,0.376035539999878,0.174830324121304,0.255681122813652,0.00787923028699739,0.301796497643458,0.152302940331303,0.38294480945969,0.131619742702429,0.0689997067360386,0.329838411244598,0
